GEOID,max_intensity,population,Total_Num_Building,BHI_factor_low,shelter_seeking_low,numerator_low,SVI_Value,SVI_Value_Mapped
6097151503,0.1,3446,1565.0,0.0018,0.6119600000000001,0.15,0.082,0.1
6013355107,0.02,5793,1822.0,0.0003,0.59976,0.03,0.492,0.3
6067009309,0.02,2424,906.0,0.0008,0.58788,0.04,0.7569,0.3
6085513000,0.02,14272,458.0,0.0001,0.57645,0.0,0.5903,0.3
6095252911,0.04,5070,1684.0,0.0004,0.57321,0.03,0.5719,0.3
6097153804,0.04,3231,869.0,0.0018,0.57215,0.08,0.1404,0.1
6041102203,0.04,5174,1176.0,0.0002,0.56005,0.01,0.859,0.5
6081613600,0.02,6053,2053.0,0.0003,0.5562,0.03,0.3979,0.3
6097152702,0.04,5007,1507.0,0.0003,0.52245,0.03,0.5919,0.3
6067003204,0.02,5553,1555.0,0.0002,0.5109,0.02,0.891,0.5
6067005402,0.02,3272,543.0,0.0003,0.49535,0.01,0.8271,0.5
6077004105,0.02,4973,1454.0,0.0003,0.48918,0.03,0.4339,0.3
6001407500,0.02,4383,768.0,0.0002,0.4789,0.01,0.9923,0.5
6095252801,0.04,2635,676.0,0.0018,0.47492,0.06,0.1982,0.1
6067007208,0.02,4819,2143.0,0.0003,0.46545000000000003,0.04,0.3629,0.3
6097151100,0.06,4855,4194.0,0.0003,0.44594999999999996,0.07,0.4475,0.3
6075011300,0.02,3068,35.0,0.0003,0.43785,0.0,0.9356,0.5
6013331000,0.04,7337,2329.0,0.0002,0.43596,0.02,0.7638,0.3
6001450102,0.02,8660,1259.0,0.0002,0.43254,0.01,0.6,0.3
6113010401,0.02,4678,1893.0,0.0003,0.42005999999999993,0.03,0.4768,0.3
6001401300,0.02,5887,366.0,0.0002,0.41805,0.0,0.5993,0.3
6001406000,0.02,5223,636.0,0.0002,0.4172,0.01,0.8776,0.5
6001433600,0.02,6307,1604.0,0.0002,0.41517,0.02,0.6446,0.3
6067009608,0.02,10056,1863.0,0.0001,0.41485,0.01,0.8916,0.5
6055201800,0.08,1781,1361.0,0.0008,0.41262,0.06,0.7682,0.3
6001409000,0.02,4879,1611.0,0.0002,0.40555,0.01,0.9265,0.5
6013376000,0.02,6941,1380.0,0.0001,0.3958,0.01,0.925,0.5
6081603000,0.02,4597,1471.0,0.0003,0.39515999999999996,0.02,0.5692,0.3
